date,open,high,low,close,volume,rsi_14,bb_mid,bb_upper,bb_lower,bb_width,bb_pctb,atr_14,natr_14,macd,macd_signal,macd_hist,ppo,ppo_signal,ppo_hist,ret_1d,ret_5d,ret_10d,ret_21d,ret_42d,ret_63d,fwd_ret_1d,fwd_ret_5d,fwd_ret_21d,DTWEXBGS,DFII10,M2SL,WALCL,gold,btc_gold_ratio,fear_greed,funding_rate
2025-06-02,105642.93,105935.63,103659.88,105857.99,13453.98813,54.96857838707745,106499.372,111346.03731237778,101652.70668762222,0.0910177256703031,0.43383265001175264,2810.258458345523,2.654743830244201,1788.2792967554415,2681.5503397446687,-893.2710429892272,1.7131819081015744,2.597855633596064,-0.8846737254944896,0.0020357254385126033,-0.017848935135418964,-0.013607278534974898,0.02983393928592415,0.20958123995971967,0.2823498143731298,-0.004544767948078454,-0.0028891536670969664,-0.004950594659883567,121.1881,2.13,21938.7,6673244.0,3370.60009765625,31.40627393727558,64.0,3.139333333333333e-05
2025-06-03,105858.0,106794.67,104872.5,105376.89,13259.52634,53.42331847462956,106592.8255,111265.57276870952,101920.07823129049,0.08767470506182452,0.36989072700952913,2746.8235684637,2.606666004722383,1592.403913229471,2463.7210544416293,-871.3171412121583,1.524457505683057,2.383176008013463,-0.858718502330406,-0.004544767948078454,-0.002015915370573329,-0.022132310015663292,0.012229822334879126,0.1277131650003922,0.23742301693527623,-0.00645331248625769,0.0033888834639170806,0.0067008050816455,121.4592,2.14,21938.7,6673244.0,3350.199951171875,31.453910672746545,64.0,5.1756666666666665e-05
2025-06-04,105376.9,106000.0,104179.0,104696.86,14034.89482,51.231030878707564,106639.48300000001,111210.82267800477,102068.14332199525,0.08573446812387045,0.2875214776373939,2680.693313573436,2.5604333440118796,1366.545833108219,2244.2860101749475,-877.7401770667284,1.3080141791230953,2.1681436422353895,-0.8601294631122942,-0.00645331248625769,0.006841147437123052,-0.039515270009345516,0.011487441238739127,0.11746881346655402,0.26880231769993546,-0.030451534076571196,0.053164536166605325,0.025251187093863203,121.0539,2.06,21938.7,6672885.0,3373.5,31.0350852230621,62.0,1.1873333333333334e-05
2025-06-05,104696.86,105909.71,100372.26,101508.68,22321.50154,42.438294851005125,106541.722,111468.792516797,101614.651483203,0.09249091199778058,-0.010754005127563155,2884.747362603906,2.841872599076164,919.6905756558699,1979.366923271132,-1059.676347615262,0.8821537650396284,1.9109456667962375,-1.028791901756609,-0.030451534076571196,-0.029478387806013306,-0.072427698723596,-0.021732357102497768,0.08010398330631885,0.21986432663418687,0.027384456186406947,0.08635429009617712,0.053575516891757546,120.9596,2.11,21938.7,6672885.0,3350.699951171875,30.294768698850014,57.0,2.7003333333333333e-05
2025-06-06,101508.69,105333.0,101095.8,104288.44,15839.07385,50.427141013476145,106599.8115,111382.63578397837,101816.98721602162,0.08973419777535682,0.25836750811202885,2981.3511224179124,2.8587551241709166,780.8567349093646,1739.6648855987787,-958.8081506894141,0.7489686485481585,1.6785502631466218,-0.9295816145984633,0.027384456186406947,-0.012821397513302468,-0.042682284822665895,0.007969349695884365,0.10196422857968868,0.24315891775729304,0.012117450409652175,0.04177529168141736,0.02645691123579952,121.161,2.2,21938.7,6672885.0,3322.699951171875,31.386655892061142,45.0,-3.172e-05
2025-06-07,104288.43,105900.0,103871.09,105552.15,8344.93206,53.58119530688699,106554.706,111360.27092940685,101749.14107059316,0.09019901813453161,0.3956880185027738,2913.319613673776,2.7600760511972293,763.993905436655,1544.530689566354,-780.5367841296991,0.7321210713772518,1.4892644247927478,-0.757143353415496,0.012117450409652175,-0.0028891536670969664,-0.020686520486115634,0.02351962368602112,0.1154431035211565,0.263522739773844,0.0017228450581063814,0.0011328997088169146,0.016528701689165093,121.161,2.2,21938.7,6672885.0,3322.699951171875,31.766982138358014,52.0,-1.918e-05
2025-06-08,105552.15,106488.14,104964.14,105734.0,8048.06305,54.0344147772273,106562.719,111361.92699963666,101763.51100036333,0.09007292690489001,0.4136608582017348,2814.0824984113638,2.6614736020687424,756.5823563576123,1386.941022924606,-630.3586665669936,0.7243089454700222,1.3362733289282027,-0.6119643834581805,0.0017228450581063814,0.0033888834639170806,0.00136613639107952,-0.006765910542236631,0.1278377545219005,0.34813209231161535,0.042834093101556725,0.0031455350218472233,0.024806873853254308,121.161,2.2,21938.7,6672885.0,3322.699951171875,31.821711726546038,62.0,2.2730000000000004e-05
2025-06-09,105734.01,110530.17,105318.37,110263.02,19975.37451,63.57351633001813,106733.3705,111810.2769749283,101656.4640250717,0.09513250544127244,0.84761813295466,2985.348034239124,2.7074789301427837,1103.442910710408,1330.2414004817665,-226.79848977135862,1.0520410270057121,1.2794268685437047,-0.22738584153799257,0.042834093101556725,0.053164536166605325,0.06036939003407027,0.04441710599624482,0.16052679274165427,0.39285633079191795,0.00010311707406529536,-0.04397104305686539,-0.02826441720896089,120.9103,2.18,21938.7,6672885.0,3332.10009765625,33.09114875557231,62.0,1.639e-05
2025-06-10,110263.02,110400.0,108331.03,110274.39,17071.82839,63.59394260797476,106764.89050000001,111925.02911410418,101604.75188589584,0.09666358650185986,0.8400586459448491,2919.892460364901,2.647842767812999,1363.5319158505154,1336.8995035555163,26.632412294999085,1.2950857778308484,1.2825586504011335,0.012527127429714957,0.00010311707406529536,0.08635429009617712,0.054330317037995624,0.032048669354110215,0.1699353956562506,0.44484923303008483,-0.014774690660270262,-0.042443036864679096,-0.04165291687399042,121.0485,2.18,21938.7,6672885.0,3320.89990234375,33.20617701309607,71.0,8.179666666666667e-05
2025-06-11,110274.39,110392.01,108064.0,108645.12,13115.91638,58.52915195913898,106612.33599999998,111319.1124900997,101905.55950990027,0.08829703328327249,0.7159422700733501,2877.6151417674077,2.648637271298893,1421.7962712639855,1353.8788570972101,67.91741416677542,1.3472405340661202,1.295495027134131,0.051745506931989205,-0.014774690660270262,0.04177529168141736,0.028418276547233168,-0.009110120855689519,0.15368814509620687,0.3150739052683027,-0.027367911232460296,-0.017033346734763533,0.0018820909765666638,120.587,2.14,21938.7,6677155.0,3321.300048828125,32.71162448521745,72.0,7.402666666666667e-05
2025-06-12,108645.13,108813.55,105671.72,105671.73,17778.67218,50.6076833695978,106530.00749999999,111242.38947108165,101817.62552891833,0.0884705085763119,0.40893379343324,2896.4876316411646,2.741024143014565,1214.0486719866312,1325.9128200750945,-111.86414808846325,1.150275509558653,1.2664511236190354,-0.11617561406038246,-0.027367911232460296,0.0011328997088169146,-0.0017595270796282314,-0.0539362973909322,0.09515834349933572,0.3274125614108252,0.003736666372359032,-0.010604160639747229,0.037030244512889166,120.1723,2.11,21938.7,6677155.0,3380.89990234375,31.255503875386818,71.0,3.4336666666666666e-05
2025-06-13,105671.74,106179.53,102664.31,106066.59,26180.81734,51.545554248633465,106445.2415,111125.19988400782,101765.28311599219,0.08793175379301126,0.45954542018002537,2940.682800809653,2.7724873598836854,1068.9469497951213,1274.5196460191,-205.5726962239787,1.0124246737491291,1.2156458336450542,-0.20322115989592504,0.003736666372359032,0.0031455350218472233,0.006545078337385046,-0.011663528028304615,0.09474373998448082,0.2714182181016842,-0.0061466103511010894,-0.01112329528082312,0.018079679944457583,120.3245,2.13,21938.7,6677155.0,3431.199951171875,30.91238969147646,61.0,5.953333333333333e-06
2025-06-14,106066.59,106252.0,104300.0,105414.64,8798.93969,49.862067249151494,106265.764,110805.74378959656,101725.78421040344,0.08544576576133327,0.40626345937151953,2870.062600751821,2.722641371968657,891.0741252884327,1197.8305418729667,-306.756416584534,0.8440567745194828,1.14132802181994,-0.2972712473004572,-0.0061466103511010894,-0.04397104305686539,0.0068557930008597,-0.021782000708784777,0.0997139263077007,0.2361453101601958,0.0017015663099546607,-0.007172153697057704,0.026405061004809216,120.3245,2.13,21938.7,6677155.0,3431.199951171875,30.722383277021557,63.0,2.317e-05
2025-06-15,105414.63,106128.57,104494.53,105594.01,7164.20047,50.34259971423582,106073.725,110367.54372548168,101779.90627451833,0.08095913904186305,0.44413888537572144,2781.7752721266916,2.634406319190541,755.869101811244,1109.4382538606221,-353.5691520493781,0.7159739573206687,1.0562572089200857,-0.34028325159941697,0.0017015663099546607,-0.042443036864679096,0.0402461149135227,-0.03128485244466295,0.1200326228006181,0.2606734718242598,0.011369205507016922,-0.021743847023140694,0.03418593535750758,120.3245,2.13,21938.7,6677155.0,3431.199951171875,30.774659449367253,60.0,1.722333333333333e-05
2025-06-16,105594.02,108952.38,104980.37,106794.53,14922.6654,53.551334527553294,105966.54299999999,110061.72454580365,101871.36145419633,0.07729197216150872,0.6010928319952565,2866.7920384033573,2.684399695755351,737.0933244224434,1034.9692679729865,-297.87594355054307,0.6975908681180878,0.9845239407596862,-0.2869330726415984,0.011369205507016922,-0.017033346734763533,0.024030371918498217,-0.024126331306525084,0.12731322165464287,0.26247234062775515,-0.02100631933114927,-0.043771155694959374,0.013749861533170371,120.1565,2.16,21938.7,6677155.0,3396.39990234375,31.44344985003221,61.0,2.9330000000000002e-05
2025-06-17,106794.53,107771.34,103371.02,104551.17,17866.33025,47.38904549877528,105805.0125,109853.30739269475,101756.71760730524,0.07652368818905923,0.3451394311389485,2976.329749945974,2.8467684770490607,535.025540719842,934.9805225223577,-399.9549818025157,0.506747214018194,0.8889685954113878,-0.38222138139319384,-0.02100631933114927,-0.010604160639747229,-0.009483274381431372,-0.04027054979902822,0.0796946155906777,0.24995436013992145,0.0032100071190022117,-0.03431142855694491,0.04181502703413065,120.5048,2.08,21938.7,6677155.0,3386.60009765625,30.87201529119316,68.0,3.278e-05
2025-06-18,104551.17,105550.27,103500.0,104886.78,13968.64167,48.346660141145584,105769.86399999999,109838.18550687394,101701.54249312603,0.07692780066114016,0.391468262954648,2910.1826249498336,2.774594305354625,397.3854761013499,827.4615132381562,-430.07603713680624,0.3765652399367852,0.7864879243164674,-0.4099226843796822,0.0032100071190022117,-0.01112329528082312,-0.008012748973840078,-0.026859827328886254,0.0809671185864238,0.24820071026692947,-0.002175583996381625,0.004263168342092172,0.06051487136891809,120.7305,2.07,21938.7,6681056.0,3389.800048828125,30.941878131207183,52.0,2.8783333333333333e-05
2025-06-19,104886.79,105226.17,103929.27,104658.59,7678.60737,47.71077674815346,105803.51950000001,109820.5002786356,101786.53872136441,0.0759328384843681,0.3574888002838666,2794.948151739131,2.6705387027850565,266.81601833926106,715.3324142583772,-448.5163959191161,0.2529912808849408,0.6797885956301621,-0.42679731474522137,-0.002175583996381625,-0.007172153697057704,-0.05082782967489918,-0.008818659008095087,0.01352864956576294,0.23203254794614714,-0.013000366238452021,0.013610062967597925,0.1084613312676963,120.7305,2.07,21938.7,6681056.0,3389.800048828125,30.874561476326935,57.0,1.2856666666666668e-05
2025-06-20,104658.59,106524.65,102345.0,103297.99,16419.06283,43.99513209985971,105738.825,109877.79358411705,101599.85641588294,0.07828663850041946,0.2051397044463577,2893.8554266149067,2.8014634424299123,52.939479997585295,582.8538274062188,-529.9143474086335,0.05027298653499504,0.5538854738111287,-0.5036124872761337,-0.013000366238452021,-0.021743847023140694,-0.06326400898703677,-0.006611403822918249,0.0031659094866478554,0.2228276895718706,-0.011403706887229914,0.03913522421878679,0.1377536000458479,121.0408,2.05,21938.7,6681056.0,3368.10009765625,30.669513080054145,54.0,4.609000000000001e-05
2025-06-21,103297.98,103982.64,100837.9,102120.01,11154.21332,41.0168097674656,105562.679,110007.39478283445,101117.96321716555,0.08420998453126506,0.1127233811782025,2911.775753285271,2.851327328782353,-209.20082189401728,424.4428975461716,-633.6437194401889,-0.19910959869761224,0.40328645930938056,-0.6023960580069928,-0.011403706887229914,-0.043771155694959374,-0.06005893315778932,-0.023633479004297575,-0.025661025290352968,0.20032438845699918,-0.01132138549535977,0.04726840508535002,0.14982362418491735,121.0408,2.05,21938.7,6681056.0,3368.10009765625,30.319766942515145,49.0,4.45e-05
2025-06-22,102120.02,103399.62,98200.0,100963.87,28746.41072,38.27793152123646,105317.973,110210.56315367836,100425.38284632163,0.09291083020897799,0.055030887195151014,3075.19319947918,3.0458353067084096,-504.4250376564596,238.66931050564537,-743.094348162105,-0.48148629603728266,0.22633190824004792,-0.7078182042773306,-0.01132138549535977,-0.03431142855694491,-0.04455174529649508,-0.044291274390060864,-0.030293801263950537,0.1853107635146778,0.043283404251441615,0.0602564065739557,0.17949757670739053,121.0408,2.05,21938.7,6681056.0,3368.10009765625,29.976505172829462,42.0,5.676e-05
2025-06-23,100963.87,106074.2,99613.33,105333.93,27666.50609,51.46928108277806,105315.825,110208.34396354908,100423.30603645091,0.09291137326321249,0.501850273870667,3317.027256659238,3.149058671464397,-381.3688529956271,114.66167780539088,-496.03053080101796,-0.3638795004909142,0.10828962649385551,-0.47216912698476976,0.043283404251441615,0.004263168342092172,-0.006907547419031768,-0.004950594659883567,0.024735648885528372,0.20359309353247967,0.007111383767794521,0.018634641278456154,0.1377262768036851,121.1694,2.04,21938.7,6681056.0,3377.699951171875,31.185105699946778,47.0,3.3966666666666675e-06
2025-06-24,105333.94,106290.0,104622.02,106083.0,14651.69335,53.311243446986694,105385.13200000001,110280.00352018228,100490.26047981775,0.09289491652735725,0.5712856299825825,3199.2381668978637,3.0157877953092047,-220.85635671723867,47.558070900864976,-268.4144276181037,-0.21053804636982257,0.0445240919211199,-0.2550621382909425,0.007111383767794521,0.013610062967597925,0.00634029580710993,0.0067008050816455,0.019012577072173853,0.1352697511070653,0.01185467982617383,0.021435385500032877,0.11005618242319692,120.3645,2.01,21938.7,6681056.0,3317.39990234375,31.977754603854706,65.0,9.7e-06
2025-06-25,106083.0,108135.3,105808.03,107340.58,16701.15551,56.30937177618525,105676.727,110285.76247593621,101067.69152406379,0.08722895961636301,0.6804990446143218,3136.9547264051594,2.9224313175922463,7.737950699927751,39.59404686067754,-31.856096160749786,0.007363751395280077,0.03709202381595193,-0.029728272420671855,0.01185467982617383,0.03913522421878679,0.0165404268670164,0.025251187093863203,0.03702869986055157,0.14568622754695548,-0.0036660878858676416,-0.0018080766845121055,0.10517783675102166,120.3336,2.01,21938.7,6662200.0,3327.10009765625,32.262503937171964,66.0,1.7833333333333338e-06
2025-06-26,107340.59,108272.45,106562.5,106947.06,10573.27279,55.116656865224506,105809.65800000001,110403.43480205876,101215.88119794126,0.08683095454403138,0.6237981348473709,3035.0258173762195,2.837876812486682,155.3559641954198,62.746430327625994,92.6095338677938,0.1476489561364698,0.05920341028005551,0.08844554585641429,-0.0036660878858676416,0.04726840508535002,0.0014282566719474588,0.053575516891757546,0.030678837524217295,0.137971112508801,0.0009399977895605538,-0.01183688452959808,0.11436031995643448,119.6451,1.98,21938.7,6662200.0,3333.5,32.08251387430629,74.0,1.542666666666667e-05
2025-06-27,106947.06,107735.34,106356.76,107047.59,12232.44042,55.37669155547071,105884.43000000001,110509.13661227652,101259.7233877235,0.08735385575153042,0.6257550043187955,2916.708258992204,2.7246837215038693,277.26015181503317,105.64917462510743,171.61097718992573,0.2631670077049864,0.0999961297650417,0.16317087793994473,0.0009399977895605538,0.0602564065739557,0.02387749462775024,0.02645691123579952,0.03463710530919473,0.13111879836024776,0.002327936574751499,0.01683372787747972,0.10161134874685174,119.659,2.0,21938.7,6662200.0,3273.699951171875,32.69926737228332,65.0,2.1110000000000003e-05
2025-06-28,107047.58,107577.75,106811.51,107296.79,3282.17352,56.05633233898292,105962.56950000001,110629.19443595706,101295.94456404296,0.08808062994276578,0.6429534747607003,2763.103383349904,2.575196688875692,389.48867314873496,162.41707432983296,227.071598818902,0.3691869704928749,0.15383429791060835,0.21535267258226656,0.002327936574751499,0.018634641278456154,0.022977252233312928,0.016528701689165093,0.04043707421893372,0.13387992983049402,0.009880444699230884,0.021323937090755418,0.09826211949117969,119.659,2.0,21938.7,6662200.0,3273.699951171875,32.77538919276684,65.0,3.108666666666667e-05
2025-06-29,107296.79,108528.5,107172.52,108356.93,6831.7364,58.92262304437496,105867.26499999998,110232.19758253505,101502.33241746492,0.08246047694790394,0.785189399025501,2662.5945702534823,2.457244377681688,557.5479571207397,241.44325088801432,316.10470623272545,0.527427987807945,0.2285530358900757,0.2988749519178693,0.009880444699230884,0.021435385500032877,0.03533718541402098,0.024806873853254308,0.017873122221694127,0.15581588342526276,-0.011170766835125301,-0.0034394662159585865,0.08221153921581204,119.659,2.0,21938.7,6662200.0,3273.699951171875,33.09922461318174,68.0,5.5366666666666666e-05
2025-06-30,108356.93,108789.99,106733.33,107146.5,9754.12491,54.54778299544526,105710.8705,109610.25047135733,101811.49052864268,0.07377443687510499,0.6840843301429113,2619.313529521091,2.44460951082965,586.3059949094022,310.4157996922919,275.8901952171103,0.5540750084358611,0.2936574303992328,0.2604175780366283,-0.011170766835125301,-0.0018080766845121055,0.03725638804782161,-0.02826441720896089,0.014897265172191476,0.12772517928942695,-0.013676228341569674,0.009814786297265954,0.09551277923217283,119.4088,1.95,21938.7,6662200.0,3294.39990234375,32.523829278823214,66.0,2.988666666666667e-05
2025-07-01,107146.51,107540.0,105250.85,105681.14,10505.62437,49.73363288194093,105562.67149999998,109209.62652886617,101915.7164711338,0.06909554252548801,0.5162421114412327,2595.730420269584,2.456190783208417,485.26085648273875,345.3848110503813,139.87604543235744,0.4586282655609932,0.3266515974315849,0.13197666812940828,-0.013676228341569674,-0.01183688452959808,0.03487200990285855,-0.04165291687399042,-0.010939168080408845,0.12120417387304161,0.02998131927797143,0.03333328917534395,0.1350598602551032,119.3436,1.97,22020.4,6662200.0,3336.699951171875,31.672353387029588,64.0,2.1653333333333335e-05
2025-07-02,105681.13,109730.0,105100.19,108849.6,17691.89592,58.30278991660722,105721.56499999999,109654.24580490602,101788.88419509395,0.07439694644902457,0.8976975446491592,2741.0218188217564,2.518173533776657,653.3190431116236,406.97165746262976,246.34738564899385,0.6161504605157418,0.38455137004841633,0.23159909046732552,0.02998131927797143,0.01683372787747972,0.07810447440257606,0.0018820909765666638,-0.007245175955380656,0.15585949114386444,0.006754090047184302,-0.0053896385471329245,0.0910098888741897,119.3037,2.0,22020.4,6659598.0,3348.0,32.51182795698925,63.0,3.113333333333333e-05
2025-07-03,108849.59,110529.18,108530.4,109584.78,13047.08225,60.00644153045742,105897.47450000001,110193.12473151897,101601.82426848105,0.08112847358827159,0.9291906115801406,2688.0045460487736,2.452899523135214,836.1901688965154,492.8153597494069,343.37480914710846,0.7866654298739271,0.46497418201351853,0.32169124786040854,0.006754090047184302,0.021323937090755418,0.040355942287542135,0.037030244512889166,-0.018903327158549144,0.13571232473944672,-0.014605495398174795,-0.00603915981763159,0.07990352309873705,119.2382,2.02,22020.4,6659598.0,3331.60009765625,32.8925371556724,73.0,4.487e-05
2025-07-04,109584.77,109767.59,107245.0,107984.24,11793.86615,54.76077246427244,106025.95449999999,110413.5259591741,101638.38304082588,0.08276410205152386,0.7231628040958024,2676.189221331004,2.478314633071459,842.2576301935478,562.7038138382351,279.55381635531273,0.7914421574795661,0.5302677771067281,0.261174380372838,-0.014605495398174795,-0.0034394662159585865,0.017922192999821007,0.018079679944457583,0.006205279062378111,0.11453635642459892,0.001980659399927198,0.030094669370271054,0.08918032853683089,119.2382,2.02,22020.4,6659598.0,3332.5,32.4033728432108,73.0,4.0119999999999995e-05
2025-07-05,107984.25,108420.56,107756.31,108198.12,3736.9757,55.32282517226461,106156.15999999999,110643.19109400416,101669.12890599582,0.08453642433946683,0.7275402105780582,2532.479276950218,2.340594528768354,854.4746140565403,621.0579738818961,233.41664017464416,0.8019298883613377,0.5846001993576501,0.21732968900368765,0.001980659399927198,0.009814786297265954,0.007988963726486276,0.026405061004809216,0.00404790523850207,0.12875193961969367,0.009295170747883663,0.07219977574471725,0.08985248542211277,119.2382,2.02,22020.4,6659598.0,3332.5,32.46755288822205,67.0,2.7086666666666663e-05
2025-07-06,108198.12,109700.0,107800.01,109203.84,6447.607,57.96730750037542,106276.6255,110960.85383222192,101592.39716777806,0.08815161960937366,0.8124542926168054,2487.301471453774,2.2776685063948063,934.5370986892958,683.7537988433761,250.78329984591971,0.8754552848406251,0.6427712164542451,0.23268406838638,0.009295170747883663,0.03333328917534395,0.021101842350785605,0.03418593535750758,0.0018315809695022,0.15832198564197952,-0.00861599738617247,0.07622277751405093,0.09351053955611821,119.2382,2.02,22020.4,6659598.0,3332.5,32.76934433608402,66.0,1.5446666666666666e-05
2025-07-07,109203.85,109700.0,107513.2,108262.94,9405.37601,54.70494215656575,106462.21399999999,111152.71646121467,101771.71153878531,0.08811581658849742,0.6919544883400064,2465.8370806356475,2.2776372788653694,911.5565712797543,729.3143533306518,182.2422179491025,0.8530312726987538,0.6848232277031469,0.16820804499560693,-0.00861599738617247,-0.0053896385471329245,0.01135336162168632,0.013749861533170371,-0.010708203488122847,0.1428136223569063,0.006096638424931022,0.08458166755863084,0.09051463039891594,119.6201,2.05,22020.4,6659598.0,3332.199951171875,32.48992905180431,73.0,3.356333333333334e-05
